,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
potential_gross_revenue,700.0,700.0,700.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,906.4000000000001,906.4000000000001,906.4000000000001,906.4000000000001,906.4000000000001,906.4000000000001,906.4000000000001,906.4000000000001,906.4000000000001,906.4000000000001,906.4000000000001,906.4000000000001,933.5920000000001,933.5920000000001,933.5920000000001,933.5920000000001,933.5920000000001,933.5920000000001,933.5920000000001,933.5920000000001,933.5920000000001,933.5920000000001,933.5920000000001,933.5920000000001,961.5997600000001,961.5997600000001,961.5997600000001,961.5997600000001,961.5997600000001,961.5997600000001,961.5997600000001,961.5997600000001,961.5997600000001,961.5997600000001,961.5997600000001,961.5997600000001,990.4477528000002,990.4477528000002,990.4477528000002,990.4477528000002,990.4477528000002,990.4477528000002,990.4477528000002,990.4477528000002,990.4477528000002,990.4477528000002,990.4477528000002,990.4477528000002,1020.1611853840001,1020.1611853840001,1020.1611853840001,1020.1611853840001,1020.1611853840001,1020.1611853840001,1020.1611853840001,1020.1611853840001,1020.1611853840001,1020.1611853840001,1020.1611853840001,1020.1611853840001,1050.76602094552
absorption_and_turnover_vacancy,0.0,0.0,0.0,-880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
free_rent,0.0,0.0,0.0,-880.0,-351.99999999999994,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
general_vacancy,-70.0,-70.0,-70.0,0.0,-88.0,-88.0,-88.0,-88.0,-88.0,-88.0,-88.0,-90.64000000000001,-90.64000000000001,-90.64000000000001,-90.64000000000001,-90.64000000000001,-90.64000000000001,-90.64000000000001,-90.64000000000001,-90.64000000000001,-90.64000000000001,-90.64000000000001,-90.64000000000001,-93.35920000000002,-93.35920000000002,-93.35920000000002,-93.35920000000002,-93.35920000000002,-93.35920000000002,-93.35920000000002,-93.35920000000002,-93.35920000000002,-93.35920000000002,-93.35920000000002,-93.35920000000002,-96.15997600000001,-96.15997600000001,-96.15997600000001,-96.15997600000001,-96.15997600000001,-96.15997600000001,-96.15997600000001,-96.15997600000001,-96.15997600000001,-96.15997600000001,-96.15997600000001,-96.15997600000001,-99.04477528000002,-99.04477528000002,-99.04477528000002,-99.04477528000002,-99.04477528000002,-99.04477528000002,-99.04477528000002,-99.04477528000002,-99.04477528000002,-99.04477528000002,-99.04477528000002,-99.04477528000002,-102.01611853840001,-102.01611853840001,-102.01611853840001,-102.01611853840001,-102.01611853840001,-102.01611853840001,-102.01611853840001,-102.01611853840001,-102.01611853840001,-102.01611853840001,-102.01611853840001,-102.01611853840001,-105.07660209455202
effective_gross_revenue,630.0,630.0,630.0,-880.0,440.0,792.0,792.0,792.0,792.0,792.0,792.0,815.7600000000001,815.7600000000001,815.7600000000001,815.7600000000001,815.7600000000001,815.7600000000001,815.7600000000001,815.7600000000001,815.7600000000001,815.7600000000001,815.7600000000001,815.7600000000001,840.2328000000001,840.2328000000001,840.2328000000001,840.2328000000001,840.2328000000001,840.2328000000001,840.2328000000001,840.2328000000001,840.2328000000001,840.2328000000001,840.2328000000001,840.2328000000001,865.439784,865.439784,865.439784,865.439784,865.439784,865.439784,865.439784,865.439784,865.439784,865.439784,865.439784,865.439784,891.4029775200001,891.4029775200001,891.4029775200001,891.4029775200001,891.4029775200001,891.4029775200001,891.4029775200001,891.4029775200001,891.4029775200001,891.4029775200001,891.4029775200001,891.4029775200001,918.1450668456,918.1450668456,918.1450668456,918.1450668456,918.1450668456,918.1450668456,918.1450668456,918.1450668456,918.1450668456,918.1450668456,918.1450668456,918.1450668456,945.689418850968
operating_expenses,974.6666666666666,974.6666666666666,974.6666666666666,823.6666666666666,955.6666666666666,990.8666666666667,990.8666666666667,990.8666666666667,990.8666666666667,990.8666666666667,990.8666666666667,993.2426666666667,993.2426666666667,993.2426666666667,993.2426666666667,993.2426666666667,993.2426666666667,993.2426666666667,993.2426666666667,993.2426666666667,993.2426666666667,993.2426666666667,993.2426666666667,995.6899466666666,995.6899466666666,995.6899466666666,995.6899466666666,995.6899466666666,995.6899466666666,995.6899466666666,995.6899466666666,995.6899466666666,995.6899466666666,995.6899466666666,995.6899466666666,998.2106450666666,998.2106450666666,998.2106450666666,998.2106450666666,998.2106450666666,998.2106450666666,998.2106450666666,998.2106450666666,998.2106450666666,998.2106450666666,998.2106450666666,998.2106450666666,1000.8069644186667,1000.8069644186667,1000.8069644186667,1000.8069644186667,1000.8069644186667,1000.8069644186667,1000.8069644186667,1000.8069644186667,1000.8069644186667,1000.8069644186667,1000.8069644186667,1000.8069644186667,1003.4811733512266,1003.4811733512266,1003.4811733512266,1003.4811733512266,1003.4811733512266,1003.4811733512266,1003.4811733512266,1003.4811733512266,1003.4811733512266,1003.4811733512266,1003.4811733512266,1003.4811733512266,1006.2356085517634
net_operating_income,-344.66666666666663,-344.66666666666663,-344.66666666666663,-1703.6666666666665,-515.6666666666666,-198.86666666666667,-198.86666666666667,-198.86666666666667,-198.86666666666667,-198.86666666666667,-198.86666666666667,-177.48266666666655,-177.48266666666655,-177.48266666666655,-177.48266666666655,-177.48266666666655,-177.48266666666655,-177.48266666666655,-177.48266666666655,-177.48266666666655,-177.48266666666655,-177.48266666666655,-177.48266666666655,-155.45714666666652,-155.45714666666652,-155.45714666666652,-155.45714666666652,-155.45714666666652,-155.45714666666652,-155.45714666666652,-155.45714666666652,-155.45714666666652,-155.45714666666652,-155.45714666666652,-155.45714666666652,-132.7708610666666,-132.7708610666666,-132.7708610666666,-132.7708610666666,-132.7708610666666,-132.7708610666666,-132.7708610666666,-132.7708610666666,-132.7708610666666,-132.7708610666666,-132.7708610666666,-132.7708610666666,-109.40398689866652,-109.40398689866652,-109.40398689866652,-109.40398689866652,-109.40398689866652,-109.40398689866652,-109.40398689866652,-109.40398689866652,-109.40398689866652,-109.40398689866652,-109.40398689866652,-109.40398689866652,-85.33610650562662,-85.33610650562662,-85.33610650562662,-85.33610650562662,-85.33610650562662,-85.33610650562662,-85.33610650562662,-85.33610650562662,-85.33610650562662,-85.33610650562662,-85.33610650562662,-85.33610650562662,-60.54618970079548
principal,-140.9483561987912,-141.62373373891046,-142.3023474630761,-142.9842128780033,-143.6693455647104,-144.35776117887463,-145.04947545119012,-145.7445041877271,-146.4428632702933,-147.14456865679676,-147.8496363816106,-148.5580825559391,-149.26992336818637,-149.98517508432565,-150.7038540482713,-151.42597668225267,-152.15155948718848,-152.8806190430646,-153.61317200931262,-154.3492351251906,-155.0888252101655,-155.8319591642976,-156.57865396862644,-157.3289266855595,-158.0827944592612,-158.84027451604516,-159.60138416476786,-160.36614079722403,-161.1345618885441,-161.90666499759334,-162.6824677673735,-163.46198792542555,-164.2452432842349,-165.03225174163856,-165.82303128123385,-166.61759997278978,-167.41597597265945,-168.21817752419508,-169.02422295816518,-169.83413069317317,-170.647919236078,-171.46560718241744,-172.28721321683327,-173.1127561134972,-173.94225473654114,-174.77572804048702,-175.61319507068106,-176.45467496372817,-177.30018694792932,-178.1497503437215,-179.0033845641185,-179.86110911515493,-180.7229435963318,-181.58890770106416,-182.45902121713175,-183.33330402713057,-184.2117761089272,-185.0944575361159,-185.98136847847638,-186.87252920243577,-187.76796007153075,-188.6676815468736,-189.57171418761902,-190.48007865143472,-191.39279569497285,-192.30988617434468,-193.2313710455967,-194.15727136519024,-195.08760829048174,-196.02240308020703,-196.96167709496638,-197.9054517977131
interest,-646.8750000000001,-646.1996224598809,-645.5210087357152,-644.839143320788,-644.1540106340809,-643.4655950199167,-642.7738807476012,-642.0788520110642,-641.380492928498,-640.6787875419946,-639.9737198171807,-639.2652736428522,-638.553432830605,-637.8381811144657,-637.11950215052,-636.3973795165386,-635.6717967116028,-634.9427371557267,-634.2101841894787,-633.4741210736007,-632.7345309886258,-631.9913970344937,-631.2447022301649,-630.4944295132318,-629.7405617395301,-628.9830816827462,-628.2219720340235,-627.4572154015673,-626.6887943102472,-625.916691201198,-625.1408884314178,-624.3613682733658,-623.5781129145564,-622.7911044571528,-622.0003249175575,-621.2057562260015,-620.4073802261319,-619.6051786745962,-618.7991332406261,-617.9892255056182,-617.1754369627133,-616.3577490163739,-615.536142981958,-614.7106000852941,-613.8811014622502,-613.0476281583043,-612.2101611281103,-611.3686812350631,-610.523169250862,-609.6736058550698,-608.8199716346728,-607.9622470836364,-607.1004126024595,-606.2344484977272,-605.3643349816596,-604.4900521716607,-603.6115800898641,-602.7288986626754,-601.8419877203149,-600.9508269963555,-600.0553961272606,-599.1556746519177,-598.2516420111723,-597.3432775473566,-596.4305605038185,-595.5134700244466,-594.5919851531946,-593.6660848336011,-592.7357479083096,-591.8009531185843,-590.8616791038249,-589.9179044010782
total_debt_service,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913,-787.8233561987913
